age,page,sex,psex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b
35,34,"Female","Male",7.583333,"6-10","Cohabiting","3+","5","7",20,14,"0x","1-5x","1-5x","6-10x","21-50x","1-5x","Not at all","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","6 to 10 times","21 to 50 times","1 to 5 times","6 to 10 times","21 to 50 times","11 to 20 times"
39,36,"Male","Female",19.75,"11-20","Cohabiting","2","8","8",19,20,"21-50x","21-50x","6-10x","11-20x","1-5x","1-5x","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","21 to 50 times","More than 50 times"
39,36,"Male","Female",3.833333,"3-5","Cohabiting","1","9","8",21,,"21-50x","6-10x","11-20x","21-50x","11-20x","6-10x","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times"
38,35,"Male","Female",6.416667,"6-10","Cohabiting","1","4","5",26,20,"1-5x","0x","0x","0x","1-5x","0x","1 to 5 times","Not at all","Not at all","6 to 10 times","6 to 10 times","6 to 10 times","Not at all","1 to 5 times","Not at all","6 to 10 times","6 to 10 times","1 to 5 times"
47,49,"Female","Male",24.66667,"21+","Cohabiting","3+","5","4",17,18,"1-5x","6-10x","1-5x","1-5x","6-10x","1-5x","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times"
50,56,"Female","Male",22.16667,"21+","Cohabiting","2","10 - Completely satisfied","9",23,17,"1-5x","1-5x","0x","1-5x","1-5x","1-5x","1 to 5 times","1 to 5 times","Not at all","Not at all","Not at all","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times"
38,35,"Male","Female",19.08333,"11-20","Cohabiting","2","3","7",,,"1-5x","1-5x","0x","6-10x","6-10x","1-5x","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times"
26,28,"Female","Male",9.25,"6-10","Cohabiting","0","9","10 - Completely satisfied",24,22,"21-50x","> 50x","11-20x","11-20x","6-10x","1-5x","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times"
33,32,"Male","Female",1.75,"0-2","Cohabiting","1","7","9",22,26,"> 50x","21-50x","21-50x","1-5x","11-20x","11-20x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","1 to 5 times","11 to 20 times","11 to 20 times","1 to 5 times","11 to 20 times","11 to 20 times"
32,33,"Male","Female",9.416667,"6-10","Cohabiting","1","7","3",19,15,"6-10x","21-50x","11-20x","0x","0x","1-5x","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","Not at all","Not at all","1 to 5 times","21 to 50 times","1 to 5 times","11 to 20 times"
50,53,"Female","Male",3.833333,"3-5","Separate households","0","9","10 - Completely satisfied",28,,"21-50x","11-20x","11-20x","11-20x","6-10x","6-10x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","No answer","No answer","No answer"
39,36,"Female","Male",14.33333,"11-20","Cohabiting","2","5","7",,,"0x","1-5x","0x","0x","0x","0x","Not at all","1 to 5 times","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","6 to 10 times","6 to 10 times"
30,30,"Male","Female",9.833333,"6-10","Cohabiting","0","9","9",22,22,"11-20x","21-50x","21-50x","11-20x","6-10x","6-10x","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times"
27,37,"Female","Male",8.583333,"6-10","Cohabiting","0","6","7",25,23,"6-10x","11-20x","11-20x","21-50x","11-20x","11-20x","6 to 10 times","11 to 20 times","11 to 20 times","No answer","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times"
41,38,"Female","Male",14.83333,"11-20","Cohabiting","3+","10 - Completely satisfied","10 - Completely satisfied",24,23,"11-20x","6-10x","1-5x","11-20x","1-5x","1-5x","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","21 to 50 times","1 to 5 times","6 to 10 times"
33,31,"Male","Female",,,"Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",27,22,"> 50x","21-50x","> 50x","> 50x","21-50x","21-50x","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times"
33,33,"Female","Male",10.58333,"6-10","Cohabiting","1","10 - Completely satisfied","8",23,24,"21-50x","21-50x","11-20x","11-20x","21-50x","6-10x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times"
35,34,"Female","Male",9.583333,"6-10","Cohabiting","2","7","6",19,16,"11-20x","11-20x","6-10x","1-5x","1-5x","1-5x","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times"
37,35,"Male","Female",5.166667,"3-5","Cohabiting","1","9","7",19,19,"21-50x","21-50x","6-10x","6-10x","6-10x","1-5x","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times"
25,24,"Female","Male",5.916667,"3-5","Cohabiting","0","10 - Completely satisfied","9",25,25,"> 50x","> 50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times"
45,49,"Female","Male",22.41667,"21+","Cohabiting","0","9","9",23,23,"6-10x","1-5x","1-5x","6-10x","1-5x","1-5x","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times"
21,18,"Male","Female",1.583333,"0-2","Cohabiting","0","7","9",24,,"21-50x","21-50x","11-20x","11-20x","6-10x","11-20x","21 to 50 times","21 to 50 times","11 to 20 times","No answer","No answer","No answer","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
30,27,"Male","Female",2.416667,"0-2","Cohabiting","0","6","8",20,,"1-5x","1-5x","1-5x","21-50x","21-50x","6-10x","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","11 to 20 times"
46,50,"Female","Male",25.58333,"21+","Cohabiting","2","8","7",18,23,"1-5x","1-5x","1-5x","1-5x","1-5x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times"
