age,page,sex,psex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b
25,30,"Female","Male",4.416667,"3-5","Cohabiting","0","6","8",26,26,"> 50x","> 50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times"
40,35,"Male","Female",3.333333,"3-5","Cohabiting","2","8","9",27,26,"> 50x","> 50x","21-50x","> 50x","21-50x","> 50x","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times"
38,37,"Male","Female",9.75,"6-10","Cohabiting","2","9","5",17,17,"6-10x","6-10x","6-10x","6-10x","1-5x","0x","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","Not at all","21 to 50 times","11 to 20 times","6 to 10 times"
45,51,"Male","Male",22.33333,"21+","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",24,24,"1-5x","6-10x","1-5x","> 50x","> 50x","> 50x","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times"
34,34,"Female","Male",5.666667,"3-5","Cohabiting","0","9","5",23,,"6-10x","1-5x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times"
29,32,"Female","Male",11.83333,"11-20","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",25,24,"6-10x","11-20x","6-10x","21-50x","> 50x","21-50x","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times"
31,26,"Female","Male",7.166667,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",27,25,"> 50x","> 50x","> 50x","21-50x","21-50x","11-20x","More than 50 times","More than 50 times","More than 50 times","Not at all","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times"
47,44,"Male","Female",18,"11-20","Cohabiting","3+","9","10 - Completely satisfied",24,29,"> 50x","21-50x","21-50x","21-50x","21-50x","21-50x","More than 50 times","21 to 50 times","21 to 50 times","Not at all","Not at all","Not at all","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times"
25,27,"Female","Male",4.083333,"3-5","Cohabiting","0","9","8",27,,"> 50x","21-50x","21-50x","21-50x","6-10x","11-20x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","21 to 50 times","6 to 10 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times"
48,51,"Male","Female",22.41667,"21+","Cohabiting","2","10 - Completely satisfied","8",24,23,"21-50x","21-50x","21-50x","21-50x","21-50x","21-50x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times"
46,45,"Female","Male",15.66667,"11-20","Cohabiting","0","9","8",18,20,"1-5x","1-5x","0x","6-10x","1-5x","0x","1 to 5 times","1 to 5 times","Not at all","11 to 20 times","21 to 50 times","1 to 5 times","6 to 10 times","1 to 5 times","Not at all","6 to 10 times","1 to 5 times","Not at all"
45,42,"Male","Female",16.5,"11-20","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",22,23,"21-50x","11-20x","6-10x","21-50x","6-10x","11-20x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times"
36,37,"Male","Female",5.666667,"3-5","Cohabiting","3+","7","8",19,21,"11-20x","21-50x","11-20x","21-50x","11-20x","11-20x","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times"
31,31,"Female","Male",16.41667,"11-20","Cohabiting","1","9","9",21,,"21-50x","21-50x","21-50x","11-20x","11-20x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
46,54,"Female","Male",28.5,"21+","Cohabiting","0","9","6",22,23,"6-10x","21-50x","11-20x","0x","0x","0x","6 to 10 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","Not at all","Not at all","Not at all","1 to 5 times","Not at all","Not at all"
34,37,"Female","Male",16.16667,"11-20","Cohabiting","2","4","7",17,21,"11-20x","1-5x","6-10x","11-20x","21-50x","6-10x","11 to 20 times","1 to 5 times","6 to 10 times","21 to 50 times","1 to 5 times","11 to 20 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times"
29,35,"Female","Male",6.583333,"6-10","Cohabiting","0","9","8",22,19,"11-20x","0x","1-5x","11-20x","1-5x","1-5x","11 to 20 times","Not at all","1 to 5 times","11 to 20 times","Not at all","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times"
42,38,"Male","Female",,,"Cohabiting","1","10 - Completely satisfied","8",24,19,"> 50x","21-50x","6-10x","1-5x","6-10x","0x","More than 50 times","21 to 50 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","Not at all","11 to 20 times","11 to 20 times","6 to 10 times"
43,41,"Male","Female",22.33333,"21+","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",22,28,"> 50x","21-50x","21-50x","> 50x","> 50x","> 50x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times"
38,44,"Female","Male",21.16667,"21+","Cohabiting","2","10 - Completely satisfied","9",22,23,"21-50x","11-20x","11-20x","21-50x","21-50x","1-5x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","1 to 5 times","More than 50 times","21 to 50 times","1 to 5 times"
27,34,"Female","Male",3,"3-5","Cohabiting","0","6","8",16,,"21-50x","11-20x","11-20x","21-50x","6-10x","6-10x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","More than 50 times","21 to 50 times"
32,33,"Male","Female",7.416667,"6-10","Cohabiting","0","9","8",19,24,"11-20x","21-50x","11-20x","11-20x","0x","6-10x","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","Not at all","6 to 10 times","11 to 20 times","Not at all","6 to 10 times"
32,32,"Male","Male",.5,"0-2","Separate households","0","8","8",27,,"1-5x","1-5x","1-5x","1-5x","11-20x","6-10x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times"
44,45,"Male","Male",20.91667,"11-20","Cohabiting","0","5","9",22,23,"1-5x","6-10x","1-5x","6-10x","6-10x","11-20x","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
31,33,"Female","Male",10.5,"6-10","Cohabiting","0","9","7",23,22,"6-10x","1-5x","1-5x","11-20x","6-10x","6-10x","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times"
29,29,"Female","Male",10.75,"6-10","Cohabiting","0","9","10 - Completely satisfied",25,23,"21-50x","11-20x","11-20x","11-20x","1-5x","1-5x","21 to 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times"
20,22,"Female","Male",2.166667,"0-2","Separate households","0","8","8",21,,"21-50x","21-50x","6-10x","21-50x","6-10x","21-50x","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times"
36,34,"Female","Male",10.91667,"6-10","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",22,19,"11-20x","11-20x","11-20x","6-10x","11-20x","11-20x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times"
39,45,"Female","Male",12.83333,"11-20","Cohabiting","2","8","10 - Completely satisfied",23,25,"11-20x","21-50x","21-50x","6-10x","6-10x","6-10x","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","6 to 10 times","6 to 10 times","6 to 10 times","More than 50 times","More than 50 times","21 to 50 times"
34,30,"Male","Female",13.83333,"11-20","Cohabiting","0","6","9",19,21,"11-20x","1-5x","1-5x","21-50x","6-10x","11-20x","11 to 20 times","1 to 5 times","1 to 5 times","21 to 50 times","1 to 5 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","More than 50 times","6 to 10 times","11 to 20 times"
31,34,"Female","Male",13.5,"11-20","Cohabiting","0","9","8",24,21,"6-10x","11-20x","6-10x","11-20x","21-50x","11-20x","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times"
47,35,"Male","Female",16.25,"11-20","Cohabiting","3+","9","9",25,25,"11-20x","11-20x","11-20x","21-50x","> 50x","11-20x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times"
40,37,"Male","Female",21.08333,"21+","Cohabiting","2","9","8",22,21,"6-10x","6-10x","1-5x","6-10x","1-5x","6-10x","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","11 to 20 times"
40,45,"Female","Male",10.66667,"6-10","Cohabiting","3+","7","7",20,,"1-5x","0x","1-5x","1-5x","1-5x","1-5x","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times"
35,29,"Male","Female",9.833333,"6-10","Cohabiting","1","9","8",20,24,"11-20x","21-50x","11-20x","11-20x","6-10x","6-10x","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","More than 50 times","21 to 50 times","More than 50 times"
31,31,"Female","Male",6.666667,"6-10","Cohabiting","0","7","7",22,,"21-50x","> 50x","21-50x","11-20x","6-10x","1-5x","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times"
47,41,"Male","Female",14,"11-20","Cohabiting","0","9","7",22,20,"21-50x","21-50x","21-50x","6-10x","1-5x","1-5x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times"
49,48,"Female","Male",21.16667,"21+","Cohabiting","2","8","6",20,16,"1-5x","6-10x","1-5x","1-5x","1-5x","1-5x","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","11 to 20 times"
35,33,"Male","Female",18.91667,"11-20","Cohabiting","2","10 - Completely satisfied","6",23,25,"6-10x","11-20x","6-10x","1-5x","1-5x","1-5x","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","21 to 50 times","21 to 50 times","21 to 50 times"
47,49,"Female","Male",29.91667,"21+","Cohabiting","2","8","9",23,23,"21-50x","11-20x","6-10x","> 50x","21-50x","11-20x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times"
45,43,"Female","Male",18.41667,"11-20","Cohabiting","1","8","9",20,,"0x","0x","1-5x","0x","1-5x","0x","Not at all","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","No answer","Not at all","1 to 5 times","Not at all","6 to 10 times","6 to 10 times","1 to 5 times"
34,28,"Male","Female",8.666667,"6-10","Cohabiting","1","8","7",22,18,"11-20x","11-20x","6-10x","6-10x","1-5x","6-10x","11 to 20 times","11 to 20 times","6 to 10 times","No answer","11 to 20 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times"
33,26,"Male","Female",4.916667,"3-5","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",22,,"21-50x","6-10x","11-20x","21-50x","21-50x","21-50x","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times"
27,26,"Female","Male",6.833333,"6-10","Cohabiting","1","9","8",25,24,"11-20x","1-5x","1-5x","21-50x","6-10x","0x","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","6 to 10 times","21 to 50 times","6 to 10 times","Not at all","More than 50 times","11 to 20 times","6 to 10 times"
36,28,"Male","Female",5.833333,"3-5","Cohabiting","0","10 - Completely satisfied","8",23,26,"21-50x","11-20x","6-10x","21-50x","> 50x","> 50x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times"
36,37,"Male","Female",7.166667,"6-10","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",20,,"> 50x","21-50x","11-20x","21-50x","6-10x","6-10x","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","More than 50 times","11 to 20 times","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times"
40,38,"Male","Female",16.41667,"11-20","Cohabiting","2","5","6",16,18,"1-5x","6-10x","6-10x","1-5x","1-5x","1-5x","1 to 5 times","6 to 10 times","6 to 10 times","11 to 20 times","21 to 50 times","21 to 50 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","11 to 20 times","11 to 20 times"
40,42,"Male","Female",12.33333,"11-20","Cohabiting","1","8","8",18,21,"21-50x","21-50x","21-50x","6-10x","11-20x","6-10x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times"
24,25,"Female","Male",7.166667,"6-10","Cohabiting","0","9","7",26,26,"21-50x","21-50x","11-20x","21-50x","21-50x","21-50x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","No answer","No answer","No answer"
42,47,"Female","Male",17.16667,"11-20","Cohabiting","2","10 - Completely satisfied","8",19,19,"21-50x","21-50x","21-50x","21-50x","21-50x","6-10x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","6 to 10 times","11 to 20 times","11 to 20 times","Not at all"
36,41,"Female","Male",6.25,"6-10","Cohabiting","1","8","9",26,26,"6-10x","21-50x","21-50x","11-20x","1-5x","11-20x","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","11 to 20 times","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times"
27,34,"Male","Female",.5833333,"0-2","Separate households","0","10 - Completely satisfied","10 - Completely satisfied",,,"> 50x","21-50x","21-50x","11-20x","11-20x","11-20x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times"
40,49,"Male","Female",21.25,"21+","Cohabiting","2","7","9",16,22,"1-5x","0x","1-5x","6-10x","> 50x","11-20x","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","21 to 50 times"
33,28,"Male","Female",5.25,"3-5","Cohabiting","0","10 - Completely satisfied","6",20,,"> 50x","> 50x","21-50x","6-10x","1-5x","1-5x","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times"
34,36,"Female","Male",4.25,"3-5","Cohabiting","0","9","8",22,23,"21-50x","21-50x","11-20x","11-20x","11-20x","11-20x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times"
22,23,"Female","Male",.4166667,"0-2","Cohabiting","0","8","10 - Completely satisfied",,,"> 50x","21-50x","> 50x","21-50x","11-20x","21-50x","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times"
43,46,"Female","Male",9.5,"6-10","Cohabiting","1","9","9",23,23,"21-50x","21-50x","21-50x","6-10x","1-5x","1-5x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times"
51,50,"Female","Male",23.25,"21+","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",23,27,"6-10x","1-5x","1-5x","21-50x","11-20x","11-20x","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times"
43,39,"Male","Female",3.333333,"3-5","Cohabiting","0","8","10 - Completely satisfied",23,25,"11-20x","11-20x","11-20x","> 50x","> 50x","> 50x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times"
35,50,"Male","Male",15,"11-20","Separate households","0","8","8",23,23,"6-10x","6-10x","1-5x","11-20x","11-20x","11-20x","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
36,39,"Female","Male",8.25,"6-10","Cohabiting","2","9","9",25,26,"> 50x","> 50x","> 50x","> 50x","> 50x","21-50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times"
25,27,"Female","Male",3.75,"3-5","Cohabiting","0","10 - Completely satisfied","8",22,24,"11-20x","6-10x","11-20x","21-50x","6-10x","6-10x","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","21 to 50 times","6 to 10 times","6 to 10 times","More than 50 times","6 to 10 times","6 to 10 times"
26,26,"Male","Male",3,"3-5","Cohabiting","0","8","9",22,24,"> 50x","11-20x","> 50x","> 50x","11-20x","11-20x","More than 50 times","11 to 20 times","More than 50 times","More than 50 times","11 to 20 times","More than 50 times","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times"
37,34,"Male","Female",14.75,"11-20","Cohabiting","1","8","7",22,16,"1-5x","0x","1-5x","1-5x","6-10x","6-10x","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","Not at all","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times"
35,35,"Female","Male",14.75,"11-20","Cohabiting","0","9","8",22,26,"1-5x","6-10x","1-5x","11-20x","6-10x","6-10x","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times"
48,52,"Male","Female",29.08333,"21+","Cohabiting","1","10 - Completely satisfied","9",21,,"11-20x","21-50x","21-50x","11-20x","21-50x","21-50x","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times"
35,27,"Female","Male",.8333333,"0-2","Separate households","0","6","8",27,26,"> 50x","11-20x","> 50x","11-20x","6-10x","21-50x","More than 50 times","11 to 20 times","More than 50 times","21 to 50 times","Not at all","More than 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","11 to 20 times"
34,34,"Male","Female",14.41667,"11-20","Cohabiting","0","4","4",17,17,"6-10x","0x","6-10x","6-10x","1-5x","6-10x","6 to 10 times","Not at all","6 to 10 times","6 to 10 times","Not at all","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times"
36,34,"Female","Male",17.41667,"11-20","Cohabiting","1","10 - Completely satisfied","9",27,23,"21-50x","21-50x","21-50x","11-20x","1-5x","1-5x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","21 to 50 times"
35,34,"Male","Female",13.5,"11-20","Cohabiting","2","3","1",22,17,"11-20x","1-5x","11-20x","0x","1-5x","0x","11 to 20 times","1 to 5 times","11 to 20 times","More than 50 times","More than 50 times","More than 50 times","Not at all","1 to 5 times","Not at all","Not at all","1 to 5 times","Not at all"
31,26,"Male","Female",6.833333,"6-10","Cohabiting","0","8","8",23,23,"11-20x","11-20x","11-20x","11-20x","21-50x","21-50x","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times"
24,22,"Male","Female",5.916667,"3-5","Separate households","0","8","8",22,,"11-20x","1-5x","21-50x","21-50x","11-20x","11-20x","11 to 20 times","1 to 5 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times"
33,34,"Female","Male",13.83333,"11-20","Cohabiting","3+","3","8",13,20,"6-10x","0x","0x","6-10x","1-5x","11-20x","6 to 10 times","Not at all","Not at all","Not at all","21 to 50 times","1 to 5 times","6 to 10 times","1 to 5 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times"
46,47,"Female","Male",23.33333,"21+","Cohabiting","1","8","8",21,22,"6-10x","11-20x","1-5x","21-50x","> 50x","> 50x","6 to 10 times","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","6 to 10 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times"
44,45,"Female","Male",28.25,"21+","Cohabiting","1","3","7",18,18,"1-5x","6-10x","1-5x","1-5x","1-5x","0x","1 to 5 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all"
28,29,"Female","Male",6,"6-10","Cohabiting","0","8","9",22,23,"> 50x","> 50x","21-50x","21-50x","> 50x","21-50x","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times"
50,54,"Female","Male",27.33333,"21+","Cohabiting","1","7","9",21,22,"11-20x","11-20x","11-20x","11-20x","1-5x","1-5x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","No answer","1 to 5 times","1 to 5 times"
35,30,"Male","Female",9.5,"6-10","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",27,23,"> 50x","> 50x","> 50x","11-20x","21-50x","6-10x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","6 to 10 times"
33,35,"Female","Male",6.333333,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",24,23,"21-50x","11-20x","11-20x","> 50x","21-50x","21-50x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times"
42,42,"Male","Female",23.25,"21+","Cohabiting","1","8","7",18,14,"11-20x","6-10x","1-5x","11-20x","6-10x","1-5x","11 to 20 times","6 to 10 times","1 to 5 times","21 to 50 times","11 to 20 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times"
21,20,"Male","Female",8,"6-10","Separate households","0","8","7",24,25,"11-20x","6-10x","1-5x","> 50x","21-50x","11-20x","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times","More than 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times"
29,29,"Male","Male",,,"Separate households","0","10 - Completely satisfied","10 - Completely satisfied",28,,"21-50x","11-20x","21-50x","21-50x","> 50x","11-20x","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times"
41,34,"Male","Female",17.5,"11-20","Cohabiting","2","8","8",22,19,"1-5x","1-5x","0x","1-5x","1-5x","1-5x","1 to 5 times","1 to 5 times","Not at all","More than 50 times","More than 50 times","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times"
